objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
610,2020/10/14 00:00,0,0,1,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Motorbike,"Private, not used for business activity",No,20000,1847754.886444923,6303118.842172861,49.16625632500006,16.598664558000053
611,2020/10/14 00:00,0,0,0,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1842185.6902078772,6312098.8929771725,49.21897508500006,16.54863561700006
612,2020/10/14 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,1000,1857341.204024324,6305035.806757424,49.17751487500003,16.684779914000043
613,2020/10/13 00:00,0,0,0,Fri,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,Private company,No,250000,1850143.3627827195,6306549.449300222,49.18640286000004,16.620120606000057
614,2020/10/13 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,0,1856996.708048947,6309136.16297341,49.20158813600005,16.681685254000055
615,2020/10/13 00:00,0,0,1,Fri,Day,Collision with a non rail vehicle,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1852629.63318186,6308464.208097666,49.19764388000005,16.64245515300007
616,2020/10/13 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1852353.5108622392,6310148.9469395615,49.207532404000055,16.639974704000053
617,2020/10/13 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,40000,1849483.7932412953,6306476.744523002,49.18597598000007,16.614195592000044
618,2020/10/13 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, used for business activity",No,30000,1842772.1304135728,6303166.185235043,49.16653440700002,16.553903699000042
619,2020/10/13 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,110000,1850290.096231796,6300786.036959598,49.152552042000075,16.621438735000027
620,2020/10/13 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845856.722147664,6307612.674356616,49.19264507600006,16.581613058000073
621,2020/10/13 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, used for business activity",No,10000,1846509.7468822605,6317594.21456083,49.25120850300003,16.587479279000032
622,2020/10/13 00:00,0,0,0,Fri,Day,Other collisions,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Truck,Private company,No,130000,1858532.1911074964,6307684.273205704,49.193065406000066,16.695478733000073
623,2020/10/13 00:00,0,0,2,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,90000,1849125.6644131595,6309139.514997721,49.201607811000024,16.61097846600006
624,2020/10/13 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1847139.3961935863,6312192.113380873,49.21952205500002,16.593135515000025
625,2020/10/13 00:00,0,0,1,Fri,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,40000,1855780.9490394914,6301796.268086579,49.15848720500002,16.670763905000054
626,2020/10/13 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1836066.4279653437,6316962.567665126,49.24750457800007,16.493665349000025
627,2020/10/13 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850816.7922686609,6314413.602099503,49.23255483200006,16.62617012600003
628,2020/10/12 00:00,0,0,0,Thu,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,10000,1846962.9083804514,6313998.964622087,49.23012254500003,16.591550098000027
629,2020/10/12 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,30000,1848684.6067945173,6311915.267973353,49.217897649000065,16.607016378000026
630,2020/10/12 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,180000,1847141.8363168242,6308883.853670267,49.200107162000045,16.593157435000023
631,2020/10/12 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,90000,1846824.0583550718,6306836.914374533,49.18809065100004,16.590302787000038
632,2020/10/12 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,"Private, used for business activity",No,1000,1850983.3076365364,6310806.246533279,49.211389868000026,16.62766595900007
633,2020/10/12 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1856817.162400716,6309499.9343066625,49.203723278000034,16.680072368000026
634,2020/10/12 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,Private company,No,50000,1857538.544427112,6304259.969092165,49.17295860100006,16.68655265300003
635,2020/10/12 00:00,0,0,0,Thu,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,60000,1838291.21177492,6315826.970749452,49.240844833000025,16.513650922000068
636,2020/10/12 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1854939.3505346368,6310341.234953638,49.20866090700007,16.66320369700003
637,2020/10/12 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1848104.42630643,6309232.919201747,49.20215605200006,16.601804528000056
638,2020/10/12 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849947.4787728293,6307624.109554619,49.192712208000046,16.618360950000064
639,2020/10/11 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,5000,1837870.508591213,6311939.692256076,49.21804096200002,16.509871681000046
640,2020/10/11 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1846320.5627472415,6316145.032155158,49.24271020500002,16.585779809000027
641,2020/10/11 00:00,0,0,0,Wed,Day,Crash,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1848359.3376989497,6308960.988975677,49.20055992600003,16.604094436000025
642,2020/10/11 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,10000,1849726.8678097231,6308282.365481799,49.19657644200004,16.616379168000037
643,2020/10/11 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846019.0546856644,6308394.769021504,49.19723626700003,16.58307131600003
644,2020/10/11 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848268.5076736324,6309136.990459038,49.20159299300007,16.60327849600003
645,2020/10/11 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846156.7856162048,6306112.549151392,49.18383758200008,16.584308574000037
646,2020/10/11 00:00,0,0,1,Wed,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,90000,1846527.688133275,6311935.286905311,49.21801511300003,16.58764044800006
647,2020/10/11 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848484.2080000413,6305045.494039147,49.17757176300005,16.605216165000055
648,2020/10/11 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1853999.2839289315,6307919.010567936,49.19444343600002,16.65475893500007
649,2020/10/10 00:00,0,0,1,Tue,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,"Private, not used for business activity",No,0,1847155.5279462787,6308857.615520193,49.19995315000005,16.593280429000057
650,2020/10/10 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,120000,1845160.374872867,6306342.515691372,49.185187857000074,16.57535766400002
651,2020/10/10 00:00,0,0,0,Tue,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1849048.1261576812,6310563.314334249,49.20996421800003,16.610281928000063
652,2020/10/10 00:00,0,0,0,Tue,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,15000,1839082.4907529857,6310271.092700994,49.20824925800007,16.520759102000053
653,2020/10/10 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Gas station,"Not identified, the driver has fled",Not identified,No,0,1846280.448768735,6315079.019844508,49.23645796000005,16.585419459000036
654,2020/10/10 00:00,0,0,0,Tue,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, used for business activity",No,40000,1837593.2559334836,6306974.025672279,49.188895651000045,16.507381078000037
655,2020/10/09 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846572.305207824,6311361.795829113,49.214649960000024,16.58804125000006
656,2020/10/09 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,6000,1846497.179357032,6314859.413941915,49.23516985600001,16.58736638300007
657,2020/10/09 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,120000,1837056.89135357,6312363.600237739,49.220528237000046,16.50256283300007
658,2020/10/09 00:00,0,0,1,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,40000,1845102.3579372573,6311961.07431976,49.21816642400005,16.57483648900006
659,2020/10/09 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1844058.2080529307,6303335.206606861,49.16752718600003,16.56545673100004
